topic_id,keybert_labels
26,"[('qatarworldcup2022', 0.5043), ('fifaworldcup', 0.4663), ('qatar', 0.4562), ('qatecu', 0.4524), ('qatvecu', 0.4315)]"
41,"[('ecuador', 0.5139), ('qatarworldcup', 0.5085), ('fifa', 0.508), ('qatarworldcup2022', 0.4821), ('fifaworldcup', 0.4767)]"
8,"[('fifaworldcup', 0.5129), ('fifa', 0.4932), ('worldcup', 0.4913), ('qatarworldcup2022', 0.4654), ('worldcupqatar2022', 0.4499)]"
12,"[('fifaworldcup', 0.4948), ('worldcup', 0.4419), ('league', 0.4293), ('quatarworldcup2022', 0.416), ('fifaworldcup2022', 0.414)]"
4,"[('fifaworldcup', 0.4843), ('fifa', 0.4575), ('worldcup', 0.4151), ('worldcup2022', 0.3892), ('fiesta', 0.3738)]"
13,"[('fifa', 0.5008), ('fifaworldcup', 0.4452), ('referee', 0.4374), ('bbc', 0.4367), ('refereeing', 0.4137)]"
28,"[('fifaworldcup', 0.4767), ('fifa', 0.4698), ('qatarworldcup2022', 0.4413), ('worldcup', 0.4242), ('sparql', 0.4083)]"
32,"[('fifa', 0.5317), ('fifaworldcup', 0.5293), ('worldcupony', 0.5191), ('qatarworldcup2022', 0.4809), ('worldcup', 0.4689)]"
14,"[('fifaworldcup', 0.4463), ('worldcupsweepstake', 0.4414), ('worldcupfantasy', 0.4266), ('worldcup', 0.4091), ('worldcup2022', 0.3693)]"
20,"[('bbc', 0.4327), ('piersmorgan', 0.394), ('fifaworldcup', 0.3845), ('morgan', 0.3816), ('qatarworldcup2022', 0.3732)]"
2,"[('qatarworldcup', 0.528), ('qatarworldcup2022', 0.5143), ('fifa', 0.5109), ('offside', 0.4927), ('fifarules', 0.4877)]"
