topic_id,keybert_labels
3,"[('penalty', 0.4602), ('ricardo', 0.421), ('goalkeeper', 0.4112), ('shootout', 0.3657), ('keeper', 0.3217)]"
25,"[('penalty', 0.4111), ('croatia', 0.3771), ('worldcup', 0.3671), ('croatian', 0.3326), ('fifa', 0.3271)]"
46,"[('tonight', 0.3746), ('croatia', 0.365), ('lovren', 0.3234), ('miami', 0.3145), ('nba', 0.3144)]"
34,"[('power', 0.4099), ('turn', 0.2561), ('stronger', 0.2522), ('lyric', 0.2385), ('song', 0.2061)]"
29,"[('maradona', 0.3675), ('fifa', 0.3448), ('brazil', 0.3318), ('prediction', 0.3144), ('midfielders', 0.2922)]"
33,"[('spain', 0.3873), ('brazil', 0.3574), ('quarterfinal', 0.3501), ('croatia', 0.3389), ('penalty', 0.3278)]"
44,"[('schmeichel', 0.5665), ('goalkeeper', 0.4927), ('goalie', 0.4269), ('keeper', 0.3814), ('mbappe', 0.343)]"
19,"[('worldcup', 0.4188), ('fifa', 0.3858), ('spain', 0.3624), ('catalonia', 0.3611), ('brasil', 0.3432)]"
42,"[('argentina', 0.4592), ('portugal', 0.4276), ('brazil', 0.4074), ('spain', 0.3922), ('maradona', 0.3747)]"
43,"[('coutinho', 0.4079), ('coutinhos', 0.3827), ('england', 0.316), ('worldcup', 0.305), ('schmeichel', 0.2949)]"
28,"[('messi', 0.4006), ('goalkeeper', 0.3919), ('ronaldo', 0.316), ('fifa', 0.3028), ('soccer', 0.2602)]"
30,"[('argentina', 0.3374), ('england', 0.3221), ('spain', 0.3144), ('portugal', 0.311), ('brazil', 0.297)]"
6,"[('cavani', 0.4852), ('napoli', 0.4436), ('mourinho', 0.3999), ('fifa', 0.3771), ('soccer', 0.3674)]"
37,"[('messi', 0.5955), ('ronaldo', 0.4901), ('cristiano', 0.3421), ('liga', 0.3145), ('vazquez', 0.3031)]"
15,"[('croatia', 0.394), ('croatian', 0.3848), ('worldcup', 0.3437), ('soviet', 0.3121), ('fifa', 0.3087)]"
20,"[('goalkeeping', 0.3487), ('ramos', 0.3406), ('soccer', 0.3234), ('ball', 0.3157), ('keeper', 0.2987)]"
31,"[('quarterfinal', 0.3444), ('croatia', 0.3274), ('rythm', 0.2901), ('lebron', 0.283), ('andreas', 0.2646)]"
0,"[('andres', 0.3411), ('mikel', 0.3385), ('midfielder', 0.3306), ('sergio', 0.3156), ('fifa', 0.2941)]"
11,"[('fifa', 0.3271), ('england', 0.3185), ('team', 0.317), ('soccer', 0.3055), ('soldier', 0.2775)]"
8,"[('ronaldo', 0.3838), ('croatia', 0.3669), ('spain', 0.3323), ('brazil', 0.3312), ('england', 0.3219)]"
5,"[('colombia', 0.451), ('brazil', 0.2914), ('qualify', 0.2804), ('uruguay', 0.2692), ('predict', 0.2471)]"
27,"[('quarterfinal', 0.2686), ('brazil', 0.2357), ('messis', 0.2246), ('england', 0.2093), ('cup', 0.2074)]"
45,"[('tryna', 0.365), ('paulinho', 0.3089), ('spain', 0.2799), ('ronaldinho', 0.2755), ('argentina', 0.262)]"
10,"[('podemos', 0.2671), ('power', 0.2576), ('olympics', 0.238), ('song', 0.2272), ('camino', 0.2119)]"
4,"[('croatia', 0.5279), ('mandzukic', 0.3631), ('denmark', 0.3461), ('zagreb', 0.2896), ('ronaldo', 0.2428)]"
24,"[('goalscorer', 0.3376), ('kane', 0.3319), ('coutinho', 0.3157), ('fifa', 0.2975), ('brazil', 0.286)]"
32,"[('goalkeeper', 0.3829), ('neymar', 0.335), ('cavani', 0.3072), ('midfielder', 0.307), ('busquets', 0.3036)]"
49,"[('midfield', 0.3487), ('ramos', 0.294), ('sergio', 0.2781), ('paulinho', 0.2718), ('mandzukics', 0.2702)]"
39,"[('schmeichels', 0.398), ('quarterfinal', 0.3871), ('korea', 0.3725), ('fifa', 0.3645), ('brazil', 0.3501)]"
21,"[('croatia', 0.3857), ('luka', 0.3242), ('fifa', 0.2667), ('future', 0.2441), ('modric', 0.2185)]"
26,"[('worldcup', 0.3537), ('brazil', 0.3345), ('liverpool', 0.3319), ('england', 0.3209), ('fifa', 0.3117)]"
13,"[('goalkeeper', 0.3433), ('goalmouth', 0.32), ('shootout', 0.3018), ('penalty', 0.2935), ('fifa', 0.2865)]"
