topic_id,keybert_labels
14,"[('penalty', 0.38), ('referee', 0.3654), ('mexico', 0.3138), ('brazil', 0.3107), ('fifa', 0.3061)]"
17,"[('ronaldo', 0.3264), ('brazil', 0.2945), ('mexico', 0.2767), ('footba', 0.2699), ('schmeichels', 0.2671)]"
48,"[('henrik', 0.366), ('croatia', 0.3535), ('goalie', 0.3519), ('ronaldo', 0.3351), ('belgium', 0.3214)]"
12,"[('mandzukic', 0.3781), ('goalkeeper', 0.3729), ('pavard', 0.3547), ('goal', 0.3544), ('scorer', 0.3499)]"
38,"[('naftali', 0.2949), ('colombian', 0.2836), ('torres', 0.2813), ('sergei', 0.2692), ('ignashevich', 0.2667)]"
40,"[('messi', 0.5038), ('ramos', 0.4475), ('marcelo', 0.4385), ('madrid', 0.426), ('cavani', 0.4231)]"
35,"[('rodriguez', 0.4173), ('kagawa', 0.4097), ('lukaku', 0.324), ('brazil', 0.2977), ('fifa', 0.2722)]"
47,"[('pogba', 0.611), ('midfield', 0.3), ('soccer', 0.2926), ('footballer', 0.2463), ('qualify', 0.2202)]"
16,"[('soccer', 0.3563), ('keane', 0.3249), ('goalkeeper', 0.3222), ('neymar', 0.3174), ('overrated', 0.3043)]"
41,"[('foot', 0.283), ('cheer', 0.2643), ('kick', 0.2561), ('mandzukic', 0.2448), ('soccer', 0.2305)]"
23,"[('footballer', 0.4438), ('fifa', 0.4331), ('ronaldo', 0.407), ('football', 0.3546), ('neymar', 0.3476)]"
9,"[('england', 0.4416), ('argentina', 0.3196), ('colombia', 0.2974), ('uruguay', 0.2954), ('gareth', 0.2948)]"
36,"[('argentina', 0.4187), ('brazil', 0.3769), ('messi', 0.3477), ('worldcup', 0.3361), ('spain', 0.3238)]"
18,"[('zlatan', 0.3205), ('como', 0.2857), ('hermano', 0.2794), ('jaja', 0.2631), ('miguel', 0.2563)]"
2,"[('salah', 0.3618), ('home', 0.3539), ('murray', 0.2678), ('brea', 0.2551), ('swansea', 0.2512)]"
1,"[('fifa', 0.4872), ('futbol', 0.3629), ('birthday', 0.3549), ('uruguay', 0.3447), ('brazil', 0.3101)]"
7,"[('mbappe', 0.4228), ('uruguay', 0.4173), ('france', 0.4171), ('argentine', 0.3611), ('argentina', 0.3419)]"
22,"[('winning', 0.3709), ('congratulation', 0.3697), ('trophy', 0.3166), ('brazil', 0.3081), ('soccer', 0.3044)]"
